sessionA,sessionB,idA,idB,gt,pred
,,0410_2,0417_3,0.0,1.0
,,0410_3,0417_2,0.0,1.0
,,0410_1,0424_0,0.0,1.0
,,0410_13,0424_13,0.0,1.0
,,0410_3,0501_3,0.0,1.0
,,0410_4,0501_12,0.0,1.0
,,0410_11,0501_10,0.0,1.0
,,0417_13,0424_3,0.0,1.0
,,0417_10,0424_8,0.0,1.0
,,0417_14,0424_13,0.0,1.0
,,0417_18,0424_10,0.0,1.0
,,0424_8,0501_9,0.0,1.0
,,0424_9,0501_2,0.0,1.0
